Merchants,Descriptions
SAFEWAY,LUCERNE MILK WHOLE
Sugar Sugar Hawaii,Knitty Critters - Pouch Pals - Eddy The Bear Crochet Kit Knitty Critters - Pouch Pals - Popcorn The Bunny Crochet Kit Paper Bag ($0.15)
Foodland,SPRAY ROSES LINDT MILK CHOC
Halal Gyro Kabob House,#18. Lamb Salad
Walmart,GV CF LG F EZEKIEL F
LILIHA BAKERY PEARL CITY,Poi Donut Coco Puff Green Tea Puff
Walmart,LOCK BOX
Walmart,PREP PROD CH F GV CHK MOZZ F
Walmart,KETTLE POPCORN DOG SNACKS CHK NDL SOUP POT RST SOUP TUNA SPAM LNCH MT DL BAR 8CT BENADRYL GOLDBEARS SR GLDBRS NORI
DRIVER LICENSE HAWAII KA,CHASE VISA
Walmart,DOLE JCE SEASONED SF CANDY SF CANDY KETCHUP
BEN FRANKLIN CRAFTS #05575,LAUHALA MAT
COSTCO WHOLESALE,MASHD POTATO WHOLE MILK PINEAPPLE SPRING MIX KS BAGS MASSAMAN BEEF BULGOGI
Walmart,SF CANDY FC PB 6CT FC PB 6CT
WHOLE FOODS,365WFM OG ITALIAN BAG 365WFM BREADED CALAMARI OVF OG UHT WHOLE MLK 365WFM PECAN HALVES
The Counter,Classic Choc Fries & Sweets K-Mini Burgers Beef 1/3 Glass of Water Diet Coke
PHO 777,Total
Foodland,SALMON FILLET FF CHX BL SL THGH =TF SHRED LETTUCE PC KFT F/MEX 4-CHS PC =KR SHRED MOZZRLLAPC KFT SHRD ITAL 5CHSPC OM FC BACON PC 93/7 GRND BF BRICKPC CHALL CANOLA OIL PC LCL POKE AHI PC LCL AHI CAL ROLL PPC LCL AHI MAUI POKE PC LCL FLOUR TORT PC ROSARITA REFRIED BPC =BUSH BLACK BEANS PC  @ 3.59 /lb WT =APPLE ENVY PC
ROSS DRESS FOR LESS,120Z BLUE PREMIUM 12x11.3x4.75 Acac
BEN FRANKLIN CRAFTS #05614 (3),TRAVEL SEWING KIT SLAM DUNK BUBBLE GUM
H MART,KABOCHA MINT
Store 215 Dir Dane Elder,OYSTER SAUCE 180Z QRT CK LEMON NY STYLE GRND PORK GREEN CABBAGE REDUCED BANANAS
Store  Jamie DePrizio,BEEF LIVER SLICED
Dunkin',Grill Chz Sourdough 2WChdChz 1AmrChz 2pc Bagel Minis Plain Sm Ice Orig Latte
University of Hawaii - Manoa Bookstore,LABCOAT UNISEX L WHITE GOGGLES SAFETY GREEN
Foodland,FOUNTAIN DRNK AMB BENTO SPCY CKN
SAFEWAY,CG SPRING WTR DEP SFTDK SNGL FS FEE SFTDK SNGL FS SIG PARCHMENT PAPR
Minit,Pump #02 - Self
SAFEWAY,QTY SIG DIET T DEP SFTDK SNGL FS FEE SFTDK SNGL FS
SAFEWAY,LUC CHESE HORIZON ORGANIC BROWN COW YGRT VAN
Daiso,Multipurpose Living Box Freezer Bag -With Seal - M - Freezer plastic bag Ssize for freezing DAISO GO Alkaline Battery LR03-5PCS 1.50$
SAFEWAY,PETIT ECOLIR MLK MEADOW GOLD ICE
Kahala,General Child
Dunkin',Md Ice Orig Latte
Dunkin Donuts,Md Ice Orig Latte Chkn RstdPep Wrap
WHOLE FOODS,SWBCO SHR SUNSCREEN SPRY
SAFEWAY O,BODY ARMOR DEP SFTDK PK FS FEE SFTDK PK FS
Grain Exchange,16oz Iced Latte
SAFEWAY,SIG MINI PRETZELS VELVETTA BROWN COW CRM TOP SIG TURKEY BREAST
Dunkin,Lg Ice Orig Latte
Longs,F CVS LINER UNSC DB F HALLS COOL BRRY CD 70CT F CVS LINER UNSC DB 135S
WHOLE FOODS,365WFM OG ROMAINE BAG KND PCN MAPLE BAR SPRKO RED WAX GOUDA 365WFM BREADED CALAMARI
ROSS DRESS FOR LESS,750ML POMEGRANATE SUGAR FREE HAZELNU 50.72oz OKA ALKALI #NIKE MD VALIANT
Target,TH Pillow RE Pillow
LEAHI HEALTH MANOA,5. Deep Green
Sam's Club #6410,Pump# UNLEAD (11)
GAP OUTLET,"GapKids  Disney Mickey Mouse Graphic T-Shirt GapKids &#124 Disney Mickey Mouse  Graphic T-Shirt Gap  Star Wars&#153 4"" Boxers"
SAFEWAY,LIFEWAY OWM KFR PL. OPN NT PIZZA SIG PISTACHIOS APPLES ROYAL GALA
SAFEWAY,LUC UNSALTD BUTTER KRYGOLD IRSH BTTR
Walmart,SF CANDY FC PB 6CT
WALTER,CORKSCREW LG PAN TONGS
Krispy Kreme,Latte Iced Medium
Whole Foods Market,LTRBK JAPANESE WHIT BREAD
Dunkin,Md Ice Orig Latte
Olive,Table Games Soft Drink Calamari Soup & Salad Gnocchi Kids Strawberry Kid CYO Meat Sauce Spaghetti Add Meatball w/1 MB Fries
SAFEWAY,HAAGEN DAZS COFFEEAC MR
COSTCO WHOLESALE,HI WATER 12P HI BEVERAGE  HI BEVERAGE WATERMELON BLACK GRAPE PRINGLES VTY PANDA COOKIE DUMPLINGS  MANDARINS VAR. MUFFIN SPINSALAD
Longs Drugs,OREO ORIG DBL STFF 14.0 BAUD WAFER CHOCLT HWNISL TEABG GVGNS
Dunkin',Donut
Longs,RAINBOW PLAYBALL EACH CFRIO SF PEG BAG CFRIO SF PEG BAG
Hardware Hawaii,CONCRETE MIX 60lb QUIKRETE
Kozo Sushi,Cucumber Maki Shrimp Tempura Hr
KAHEKA STORE,JK ALKALINE BATTERY ORANGE NAVEL 
WHOLE FOODS,PFD BTRNUT SOUP OG PFD OG CRMY CARROT SOUP 365WFM BREADED CALAMARI VTACO CCNUT WT CARROT GINGER SOUP OG CAULIFLOWER CIABATTA BREAD
Panda Express #1866,Plate FRIED RICE-1/2 HNY WLT SHRIMP BLK PEPPER STEAK Panda Cares Donation
Walmart,SQZ BUF MAYO MAND 3# BAG
McDonald's Restaurant,Double   French Fries
CVS Drugs,SF PEG BAG 3Z FRIO SF PEG BAG 3Z
McDonald's Restaurant,Happy Meal Ch Burger Cheeseburger Extra Kids Fry THOR Love & Thunder Apple Juice S Frozen Coke
Oahu Honolulu Ala Moana,THAT'S IT GENERALMILLS CPK GG CRACKER CHOBANI CHOBANI CHOBANI ALANI ALANI GG CHEESE BENADRYL Method BW Rohto Reduce FranklinSprt BULLSEYE'S A
SAFEWAY,CHEESECAKE SLICE
Honolulu Intl Airport 0169,Parking Fee
Taco Bell 001281,Bean Burrito Add Beef
KAHEKA STORE,NISHIKI RICE VINEGAR AJI GYOZA PORK & CHK SK AMAZU SHOGA OSTS GLZ OF DONUT HS OM HARD SALAMI HEARTH N HARVEST WH* CROWN ROYAL PEACH SAPPORO 12PK BEER* HF LTL SMOKIES* GRND BF 75% LEAN GRND BF 75% LEAN PAPER BAG TIMES
McDonald's Restaurant #14616,Happy Meal Ch Burger Cheeseburger Extra Kids Fry Apple Juice S Apl Jc Surcharge ELEMENTAL S Grimace Bday Shake S Shake Surcharge
Store L,L  LIGHT
Ralphs,ADBR COFFEE RIO
COSTCO,CHKN TAQUITO ORG BANANAS ORG BLEND SRDOUGH BRD KS BLUEBERRY AVOCADOS CREAM CHEESE KS BACON SW WRAP PIE PUMPKINS WHOLE MILK WHOLE  ALL IN PAN 
KAHEKA STORE,HERSHEYS PUDDING SMO NESTLE DRUMSTK-S/DI* TERRA BEER BOTTLE TERRA BEER BOTTLE
PACSUN,Jg striped brianna sweate ROUND UP CHARITY
Longs Drugs,CFRIO SF PEG BAG 3Z 4.59B CFRIO SF PEG BAG 3Z 4.59B CFRIO SF PEG BAG 3Z 4.59B CR GYSR SPR WTR 33.8 BOTTLE DEPOSIT HI CONTAINER FEE CR GYSR SPR WTR 33.8 BOTTLE DEPOSIT HI CONTAINER FEE
H MART,SY RAMEN HOT MULTI IND MI GORENG NOOD HT BEEF DUMPLING D NS SHRIMP HOT SNCK ME AZUKI ICE CREAM
Grove Music,ACCES0843 - Fender Dreadnought/12-String Case Black
Taco Bell 002491,Beef Crunchy Taco Beef Soft Taco Chzy Bean Rice Bur Chips N Cheese
Longs,CFRIO SF PEG BAG 3Z HLMRK EVERYDY CARD ASST TROLLI SOUR CRAWLR 5Z
Walmart,SF CANDY
Wet'N'Wild Hawaii,Gold Pass Season Pass
Oahu Honolulu Ala Moana,ProCat ProCat Puna
COSTCO,KS ORG EGGS CHKN CHUNKS ONION GRUYER KEBABS KS PISTACHIO
COSTCO,ORG LATE JUL MOZZ STICKS FR  ORG AVO OIL. SHAVED PARM KIMCHI GUACAMOLE ORG CELERY MINI LIGHTS GREEN  DIAPERS SZ BLUE DOGFOOD FILET STEAK STRAWBERRIES
Sam's Club,SAMURAI BOOK WHL MILK REVOL GOUDAHAVARTF CRESTPASTE TAMPAX RAD BANANAS
KAHEKA STORE,ORANGE NAVEL CHINESE PARSLEY CILA CARROTS-CELLO 2# BH! W
KAHEKA STORE,JK NET SPONGE PLS FRIDGE TRAY WIDE REFRIGERATER SLIM PLASTIC KIREI STOCKE AVOCADO
WHOLE FOODS,BC PLAIN CRM TOP YGRT 365WFM RBST FREE CRM CHS 365WFM BREADED CALAMARI PINEAPPLE SMALL BAG FEE
Sam's Club,EZPEELSHRINF DC 24PK CANF HI DEPOSIT F HI HANDLINGF MIXED NUTS F DORITOS COOF DORITOS COO BASHATI
"See's Candies, Inc",BULK CANDY HI1 Candy
Dunkin',Lg Ice Orig Latte
SAFEWAY,PETIT ECOLIR MLK
Walmart,BOOSTER VOIDED BANKCARD TRANSACTION
Target,Reusble Bags PAJAMA BOTTOM Stars Above SHOE RACKS Therabreath Raw Sugar Native Native Raw Sugar Raw Sugar AIM All in Motion
UNITED STATES POSTAL SERVICE,USPS Grnd Advtg
Foodland,SH WHOLE MILK QKR CHEWY GRANOLA MUFFINS-MINI BLBRY
Foodland,SH FAT FREE MILK PC SH WHOLE MILK PC SALMON FILLET FF CHX BL SL THGH OM FC BACON PC LCL POKE AHI PC LCL AHI CAL ROLL PPC LCL AHI MAUI POKE PC APPLE ENVY PC
ABC STORES,EVIAN WATER LTR
Raising Cane's,FINGER COMBO BOX COMBO SWEET TEA
Walmart,JELLO FIESTA SH GAR ULT BF JOSEPH BREAD AVOCADO SNFLWR SEEDS SF CANDY
COSTCO,SLICE CHEESE SLICE PEP CB MCHA FRZE FC MANGO
Wal-Mart,OV UH RF JUG F
Baskin Robbins,Single Scoop Dip Sugar Cone
SAFEWAY,SIG PARCHMENT PAPR SIG ALUMINUM FOIL LUCERNE MILK WHOLE
Panda Express #2150,Plate FRIED RICE-1/2 FRIED  STR BN CKN BRST ORANGE CKN XTRA ENTREE VEG SPRING  
University of Hawaii - Manoa Bookstore,PAD TRACING 11X14
H MART,WANG DANGMYUN K-T TOPPOKI OTG SOUP RICECAKE HT VEGE DUMPLING
How doers,"TAPCON BIT <A> TAPCON DRILL BIT 5/32X3-1/2, SGL CT TAPCON 3/16 <A> TAPCON 3/16X1-3/4 STAR FLAT  OOK KIDSAFE DETAILERS MICROFIBER QC TOWELS 3PK 10-PIECE BRASS BOREFAST SELF DRILLIN DW MAX IMPACT SET 30PC"
SAFEWAY,OYSTER SAUCE 180Z QRT CK LEMON NY STYLE GRND PORK GREEN CABBAGE REDUCED BANANAS
Whole Foods Market,CRISPY CAULIFLOWER BITES THE MARKET PUB BURGER MIXER
SAFEWAY,SIG ICE CREAM BAR
The Counter,Fries & Sweets Purist Beef 1/3
"See's Candies, Inc",Chocolate Colored Film
T.J.MAXX,- HAIRCARE - BATH & BODY/WE - CHILDRENS TOYS
SAFEWAY,BH CHORIZO SAUSAGE
SAFEWAY,WAIALUA FRESH CAGE DANISH VARIETY FRT
KOZO SUSHI MOILIILI,Sale
Walmart,CALAMARI RNG F ALMOND MILK F SF CANDY F COCONUT MILK F
KAHEKA STORE,JOLLYTIME POPCORN POPCORN BAGS PK
Whole Foods Market,MANGO TANGO SMOOTHIE RG ICED LATTE
Kozo Sushi,Cucumber Maki Shrimp Tempura Hr
Honolulu Store,CARDAMOM POWDER CINN VIETNAMESE CUMIN SEED GROUND
Target,HERSHEY PB
WHOLE FOODS,365WFM PASTA SAUCE 365WFM RSTD SLTD ALMDS 365WFM BREADED CALAMARI
KAHEKA STORE,CHINESE PARSLEY CILA PAPER BAG TIMES
T&C Surf Designs Ala Moana,FT CUSHION VISTA VINTAGE BAG FEE
Taste Tea,Blended Milk Tea
McDonald's Restaurant,Happy Meal Ch Burger Cheeseburger Extra Kids Fry Apple Juice M Diet Coke
